phrase,english,pinyin,color,comments
打復,Reply,dǎ fù,light-blue,
確認,confirm,què rèn,yellow,
謝絕,decline,xiè jué,dark-red,
偷,"to steal, burglar, thief",tōu,brown,
也許,maybe,yě xǔ,yellow,
碰到,encounter,pèng dào,orange,
更新,update,gèng xīn,yellow,
出現,appear,chū xiàn,yellow,
增加,increase,zēng jiā,brown,
減少,decrease,jiǎn shǎo,blue,
成長,grow,chéng cháng,dark-red,
縮小,shrink,suō xiǎo,grey,
擴展,expand,kuò zhǎn,dark-grey,
縮短,shorten,suō duǎn,dark-grey,
延長,extend,yán cháng,cyan,
搬,move,bān,dark-red,
推,push,tūi,dark-grey,
拉,pull,lā,teal,
扔,throw,rēng,black,
抓,catch,zhuā,white,
撿,pick up,jiǎn,black,
掉,drop,diào,blue,
掉落,fall,diào luò,lime,
升,raise,shēng,lime,
降,lower,jiàng,grey,
翻,turn over,fān,yellow,
滾,roll,gǔn,white,
滑,slide,huá,dark-grey,
爬,climb,pá,teal,
藏,hide,cáng,grey,
