phrase,english,pinyin,color,comments
避免,avoid,bì miǎn,brown,
逃跑,escape,táo pǎo,light-grey,
追,follow,zhūi,light-blue,
趕,chase,gǎn,hot-pink,
抓住,catch,zhuā zhù,yellow,
釋放,release,shì fàng,purple,
捆綁,tie,kǔn bǎng,red,
解開,untie,jiě kāi,teal,
鎖,lock,suǒ,light-blue,
解鎖,unlock,jiě suǒ,yellow,
蓋,cover,gài,brown,
揭開,uncover,jiē kāi,light-blue,
包裹,wrap,bāo guǒ,pink,
裝,pack,zhuāng,cyan,
拆,unpack,chāi,lime,
裝飾,decorate,zhuāng shì,light-blue,
清理,clean up,qīng lǐ,teal,
打掃,sweep,dǎ sǎo,grey,
拖,drag,tuō,teal,
搬運,carry,bān yùn,hot-pink,
舉,hold up,jǔ,yellow,
握,hold,wò,red,
捏,pinch,niē,brown,
擰,twist,níng,grey,
拍,pat,pāi,hot-pink,
敲,knock,qiāo,cyan,
按,press,àn,grey,
點,click,diǎn,orange,
滑動,swipe,huá dòng,teal,
滾動,scroll,gǔn dòng,hot-pink,
