phrase,english,pinyin,color,comments
跳,jump,tiào,cyan,
遊泳,swim,yóu yǒng,dark-red,
飛,fly,fēi,brown,
騎,ride,qí,light-grey,
開,drive,kāi,brown,
停,stop,tíng,teal,
等,wait,děng,teal,
幫助,help,bāng zhù,teal,
喜歡,like,xǐ huān,hot-pink,
愛,love,ài,teal,
討厭,hate,tǎo yàn,blue,
需要,need,xū yào,dark-blue,
得,have to,de,dark-blue,
希望,hope,xī wàng,hot-pink,
擔心,worry,dān xīn,black,
相信,believe,xiāng xìn,purple,
嘗試,try,cháng shì,teal,
改變,change,gǎi biàn,dark-red,
決定,decide,jué dìng,red,
選擇,choose,xuǎn zé,yellow,
接受,accept,jiē shòu,light-grey,
拒絕,refuse,jù jué,black,
發送,send,fā sòng,teal,
收到,receive,shōu dào,dark-grey,
帶,bring,dài,dark-grey,
拿,take,ná,dark-grey,
放,put,fàng,dark-grey,
丟,lose,dīu,teal,
找到,find,zhǎo dào,white,
修理,fix,xīu lǐ,cyan,
