phrase,english,pinyin,color,comments
吃,eat,chī,pink,
喝,drink,hē,brown,
走,walk,zǒu,orange,
跑,run,pǎo,lime,
看,see,kàn,brown,
聽,hear,tīng,lime,
說,speak,shuō,grey,
寫,write,xiě,green,
讀,read,dú,white,
買,buy,mǎi,red,
賣,sell,mài,blue,
做,do,zuò,light-grey,
工作,work,gōng zuò,green,
學習,study,xué xí,brown,
教,teach,jiào,white,
問,ask,wèn,red,
答,answer,dá,blue,
想,think,xiǎng,pink,
知道,know,zhī dào,yellow,
理解,understand,lǐ jiě,teal,
記得,remember,jì de,purple,
忘,forget,wàng,black,
打開,open,dǎ kāi,yellow,
關閉,close,guān bì,black,
開始,start,kāi shǐ,dark-blue,
結束,end,jié shù,dark-red,
睡,sleep,shùi,blue,
醒,wake,xǐng,blue,
坐,sit,zuò,blue,
站,stand,zhàn,green,
