phrase,english,pinyin,color,comments
分配,assign,fēn pèi,red,
分發,distribute,fēn fā,white,
收集,collect,shōu jí,hot-pink,
整理,organize,zhěng lǐ,orange,
儲存,store,chǔ cún,blue,
運輸,transport,yùn shū,blue,
郵寄,mail,yóu jì,orange,
接收,receive,jiē shōu,dark-grey,
感謝,thank,gǎn xiè,black,
道歉,apologize,dào qiàn,pink,
原諒,forgive,yuán liàng,teal,
責備,blame,zé bèi,dark-grey,
贊美,praise,zàn měi,cyan,
鼓勵,encourage,gǔ lì,teal,
支持,support,zhī chí,lime,
反對,oppose,fǎn dùi,black,
建議,suggest,jiàn yì,light-grey,
推薦,recommend,tūi jiàn,black,
要求,request,yào qíu,brown,
命令,order,mìng lìng,hot-pink,
允許,allow,yǔn xǔ,light-grey,
禁止,forbid,jìn zhǐ,black,
遵守,obey,zūn shǒu,light-grey,
違反,violate,wéi fǎn,cyan,
遵循,follow,zūn xún,white,
引導,guide,yǐn dǎo,cyan,
處理,handle,chù lǐ,dark-red,
解決,solve,jiě jué,white,
應對,cope,yīng dùi,dark-red,
麵對,face,miàn dùi,pink,
