phrase,english,pinyin,color,comments
擦,wipe,cā,yellow,
刷,brush,shuā,red,
剪,cut,jiǎn,red,
畫,draw,huà,purple,
拍照,take photos,pāi zhào,hot-pink,
錄音,record,lù yīn,brown,
唱歌,sing,chàng gē,yellow,
跳舞,dance,tiào wǔ,grey,
笑,laugh,xiào,blue,
哭,cry,kū,dark-red,
喊,shout,hǎn,yellow,
打,hit,dǎ,lime,
踢,kick,tī,teal,
抱,hug,bào,light-blue,
親吻,kiss,qīn wěn,cyan,
聞,smell,wén,dark-red,
嘗,taste,cháng,light-blue,
付,pay,fù,dark-red,
藉,borrow,jiè,dark-grey,
還,return,huán,cyan,
租,rent,zū,black,
送,give,sòng,dark-red,
收,collect,shōu,purple,
分,divide,fēn,blue,
閤,combine,gé,dark-red,
