phrase,english,pinyin,color,comments
滷肉飯,braised pork on rice,lǔ ròu fàn,brown,
飯糰,"rice ball, onigiri",fàn tuán,black,
泡麵,instant noodles,pào miàn,yellow,
大腸包小腸,small sausage in big sausage,dà cháng bāo xiǎo cháng,red,
珍珠奶茶,bubble milk tea,zhēn zhū nǎi chá,brown,
滷味,pot-stewed cuisine,lǔ wèi,red,
挫冰,shaved ice dessert,cuò bīng,pink,
邪惡,decadent food (literally: evil),xié è,purple,
臭豆腐,stinky tofu,chòu dòu fǔ,white,
麻糬,mochi,má 糬,grey,
米糕,tube rice pudding,mǐ gāo,white,
蚵仔煎,oyster omelette,hé zǐ jiān,grey,
炕肉飯,braised pork belly rice,kàng ròu fàn,brown,
美式,americano,měi shì,brown,
涼麵,Taiwanese cold noodles,liáng miàn,hot-pink,
小菜,Side dishes,xiǎo cài,green,
皮蛋豆腐,Century Egg Tofu,pí dàn dòu fǔ,brown,
鐵闆燒,Teppanyaki,tiě bǎn shāo,black,
鹽酥雞,Taiwanese fried chicken,yán sū jī,orange,
紅豆餅,Red bean cake (Imagawayaki),hóng dòu bǐng,red,
賤母鴨,ginger duck hotpot,jiàn mǔ yā,dark-red,
便當,bento box,biàn dāng,black,
叉燒,barbecued pork,chā shāo,orange,
鹹蛋,salted duck egg,xián dàn,brown,
皮蛋,preserved egg,pí dàn,yellow,
花捲,steamed twisted rolls,huā juǎn,dark-grey,
粽子,sticky rice dumpling,zòng zǐ,dark-red,
糯米雞,sticky rice chicken,nuò mǐ jī,red,
蘿蔔糕,turnip cake,luó bo gāo,light-grey,
蛋炒飯,egg fried rice,dàn chǎo fàn,yellow,
