phrase,english,pinyin,comments
洋蔥,onion,yáng cōng,
粥,"congee, soup",zhōu,easy ones
木瓜,papaya,mù guā,
魚,fish,yú,
牛肉,beef,níu ròu,
豆腐,tofu,dòu fǔ,
豬肉,pork,zhū ròu,
雞肉,chicken,jī ròu,
羊肉,lamb,yáng ròu,
蘋果,apple,pín guǒ,
香蕉,banana,xiāng jiāo,end easy ones
宇部,ube,yù bù,
蝦,shrimp,xiā,
龍蝦,lobster,lóng xiā,
田雞,frog,tián jī,
鵪鶉,quail,ān chún,
海帶,kelp,hǎi dài,
魚丸,fish balls,yú wán,
豆漿,soy milk,dòu jiāng,
豆皮,tofu skin,dòu pí,
青菜,greens,qīng cài,
白菜,Chinese cabbage,bái cài,
油麥菜,romaine lettuce,yóu mài cài,
芥蘭,Chinese broccoli,jiè lán,
西蘭花,broccoli,xī lán huā,
鬍蘿蔔,carrot,hú luó bo,
土豆,potato,tǔ dòu,
南瓜,pumpkin,nán guā,
茄子,eggplant,qié zǐ,
西葫蘆,zucchini,xī hú lú,
黃瓜,cucumber,huáng guā,
