phrase,english,pinyin,comments
辣椒,chili pepper,là jiāo,
蒜,garlic,suàn,
薑,ginger,jiāng,
木耳,black fungus,mù ěr,
杏鮑菇,king oyster mushroom,xìng bào gū,
金針菇,enoki mushroom,jīn zhēn gū,
玉米,corn,yù mǐ,
豌豆,peas,wān dòu,
花生,peanut,huā shēng,
核桃,walnut,hé táo,
腰果,cashew,yāo guǒ,
杏仁,almond,xìng rén,
葡萄,grape,pú táo,
橙子,orange,chéng zǐ,
柚子,grapefruit,yòu zǐ,
哈密瓜,hami melon,hā mì guā,
櫻桃,cherry,yīng táo,
菠蘿,pineapple,bō luó,
芒果,mango,máng guǒ,
獼猴桃,kiwi,mí hóu táo,
荔枝,lychee,lì zhī,
龍眼,longan,lóng yǎn,
榴蓮,durian,líu lián,
鸚鵡螺,nautilus,yīng wǔ luó,
鮑魚,abalone,bào yú,
海參,sea cucumber,hǎi cān,
