phrase,english,pinyin,comments
應該,should,yīng gāi,
已經,already,yǐ jīng,
如果,if,rú guǒ,
但是,but,dàn shì,
還是,still,hái shì,
也,also,yě,
又,"and, also, again, in addition",yòu,
到,to; arrive; reach,dào,
從,from,cóng,
跟,with,gēn,
還,still,hái,
常常,often,cháng cháng,
總是,always,zǒng shì,
有時候,sometimes,yǒu shí hòu,
馬上,immediately,mǎ shàng,
剛纔,just now,gāng cái,
立刻,at once,lì kè,
突然,suddenly,tū rán,
一起,together,yī qǐ,
對於,regarding; concerning,duì yú,
關於,about; regarding,guān yú,
除了,except; besides,chú le,
因為,because,yīn wèi,
所以,so; therefore,suǒ yǐ,
跟著,following,gēn zhe,
嚮,towards,xiàng,
往,towards; to,wǎng,
一直,continuously;yì zhí,yī zhí,
非常,very; extremely,fēi cháng,
比較,comparatively,bǐ jiào,
