phrase,english,pinyin,color,comments
洋蔥,onion,yáng cōng,white,
粥,"congee, soup",zhōu,white,easy ones
木瓜,papaya,mù guā,pink,
魚,fish,yú,light-blue,
牛肉,beef,níu ròu,brown,
豆腐,tofu,dòu fǔ,white,
豬肉,pork,zhū ròu,dark-red,
雞肉,chicken,jī ròu,orange,
羊肉,lamb,yáng ròu,white,
蘋果,apple,pín guǒ,green,
香蕉,banana,xiāng jiāo,yellow,end easy ones
宇部,ube,yù bù,purple,
蝦,shrimp,xiā,pink,
龍蝦,lobster,lóng xiā,red,
田雞,frog,tián jī,green,
鵪鶉,quail,ān chún,brown,
海帶,kelp,hǎi dài,green,
魚丸,fish balls,yú wán,grey,
豆漿,soy milk,dòu jiāng,grey,
豆皮,tofu skin,dòu pí,grey,
青菜,greens,qīng cài,green,
白菜,Chinese cabbage,bái cài,green,
油麥菜,romaine lettuce,yóu mài cài,green,
芥蘭,Chinese broccoli,jiè lán,green,
西蘭花,broccoli,xī lán huā,green,
鬍蘿蔔,carrot,hú luó bo,orange,
土豆,potato,tǔ dòu,brown,
南瓜,pumpkin,nán guā,orange,
茄子,eggplant,qié zǐ,purple,
西葫蘆,zucchini,xī hú lú,green,
