phrase,english,pinyin,color,comments
番茄,tomato,fān qié,red,taiwan book foods
地瓜,sweet potato,dì guā,orange,
鮭魚,salmon,gūi yú,pink,
九層塔,basil,jǐu céng tǎ,green,
優格,yogurt,yōu gé,white,
起司,cheese,qǐ sī,yellow,
椰子,coconut,yé zǐ,white,
柳丁,orange,lǐu dīng,orange,
釋迦,sugar apple,shì jiā,red,
節瓜,zucchini,jié guā,green,
鳳梨,pineapple,fèng lí,yellow,
芭樂,guava,bā lè,green,
高麗菜,cabbage,gāo lì cài,lime,
馬鈴薯,potato,mǎ líng shǔ,brown,
鮪魚,tuna,wěi yú,pink,
蓮霧,wax apple,lián wù,red,
奇異果,kiwi,qí yì guǒ,green,
優洛乳,Yolo milk,yōu luò rǔ,white,
酪梨,avocado,lào lí,green,end taiwan book foods
西瓜,watermelon,xī guā,red,
草莓,strawberry,cǎo méi,red,
肉鬆,pork floss,ròu sōng,red,
鴨肉,duck,yā ròu,green,
將油,soy sauce,jiāng yóu,black,
蟹,crab,xiè,red,
紫菜,seaweed,zǐ cài,green,
豆芽,bean sprouts,dòu yá,white,
菠菜,spinach,bō cài,green,
香菇,shiitake mushroom,xiāng gū,brown,
蔥,green onion,cōng,green,
