phrase,english,pinyin,color,comments
高,high/tall,gāo,green,
低,low,dī,brown,
大,big,dà,red,
小,small,xiǎo,light-blue,
長,long,cháng,yellow,
短,short,duǎn,orange,
快,fast,kuài,orange,
慢,slow,màn,purple,
新,new,xīn,cyan,
好,good,hǎo,green,
熱,hot,rè,red,
冷,cold,lěng,light-blue,
漂亮,pretty,piāo liàng,pink,
聰明,smart,cōng míng,yellow,
容易,easy,róng yì,green,
難,difficult,nán,red,
貴,expensive,gùi,light-grey,
便宜,cheap,pián yí,brown,
忙,busy,máng,orange,
開心,happy,kāi xīn,yellow,
纍,tired,lèi,purple,
健康,healthy,jiàn kāng,pink,
鹹,salty,xián,white,
甜,sweet,tián,hot-pink,
苦,bitter,kǔ,yellow,
遠,far,yuǎn,lime,
近,near,jìn,dark-blue,
舒服,comfortable,shū fú,purple,
難過,sad,nán guò,dark-blue,
有錢,rich,yǒu qián,green,
