phrase,english,pinyin,comments
失去,lose,shī qù,
贏,win,yíng,
輸,lose,shū,
比賽,compete,bǐ sài,
挑戰,challenge,tiāo zhàn,
冒險,adventure,mào xiǎn,
失敗,fail,shī bài,
成功,succeed,chéng gōng,
訓練,train,xùn liàn,
復習,review,fù xí,
考試,test,kǎo shì,
考察,examine,kǎo chá,
總結,summarize,zǒng jié,
歸納,conclude,gūi nà,
推斷,infer,tūi duàn,
證明,prove,zhèng míng,
陳述,state,chén shù,
製,"make, manufacture; produce",zhì,
可以,can,kě yǐ,
沒有,not have,méi yǒu,
不是,is not,bù shì,
會,will,hùi,
是,is,shì,
有,have,yǒu,
去,go,qù,
來,come,lái,
建造,build,jiàn zào,
破壞,destroy,pò huài,
保護,protect,bǎo hù,
洗,wash,xǐ,
