phrase,english,pinyin,comments
增加,increase,zēng jiā,
減少,decrease,jiǎn shǎo,
成長,grow,chéng cháng,
縮小,shrink,suō xiǎo,
擴展,expand,kuò zhǎn,
縮短,shorten,suō duǎn,
延長,extend,yán cháng,
搬,move,bān,
推,push,tūi,
拉,pull,lā,
扔,throw,rēng,
抓,catch,zhuā,
撿,pick up,jiǎn,
掉,drop,diào,
掉落,fall,diào luò,
升,raise,shēng,
降,lower,jiàng,
翻,turn over,fān,
滾,roll,gǔn,
滑,slide,huá,
爬,climb,pá,
藏,hide,cáng,
找,search,zhǎo,
展示,show,zhǎn shì,
演,perform,yǎn,
玩,play,wán,
休息,rest,xīu xī,
旅行,travel,lv̌ xíng,
參觀,visit,cān guān,
參加,attend,cān jiā,
