phrase,english,pinyin,comments
組織,organize,zǔ zhī,
計劃,plan,jì huà,
預訂,book,yù dìng,
預約,make appointment,yù yuē,
通知,notify,tōng zhī,
提醒,remind,tí xǐng,
報告,report,bào gào,
評論,comment,píng lùn,
討論,discuss,tǎo lùn,
解釋,explain,jiě shì,
描述,describe,miáo shù,
錶達,express,biǎo dá,
代錶,represent,dài biǎo,
管理,manage,guǎn lǐ,
領導,lead,lǐng dǎo,
控製,control,kòng zhì,
監督,supervise,jiān dū,
檢查,check,jiǎn chá,
測試,test,cè shì,
評估,evaluate,píng gū,
審查,review,shěn chá,
批準,approve,pī zhǔn,
保存,save,bǎo cún,
刪除,delete,shān chú,
編輯,edit,biān jí,
復製,copy,fù zhì,
粘貼,paste,nián tiē,
打印,print,dǎ yìn,
掃描,scan,sǎo miáo,
連接,connect,lián jiē,
