phrase,english,pinyin,comments
跳,jump,tiào,
遊泳,swim,yóu yǒng,
飛,fly,fēi,
騎,ride,qí,
開,drive,kāi,
停,stop,tíng,
等,wait,děng,
幫助,help,bāng zhù,
喜歡,like,xǐ huān,
愛,love,ài,
討厭,hate,tǎo yàn,
需要,need,xū yào,
得,have to,de,
希望,hope,xī wàng,
擔心,worry,dān xīn,
相信,believe,xiāng xìn,
嘗試,try,cháng shì,
改變,change,gǎi biàn,
決定,decide,jué dìng,
選擇,choose,xuǎn zé,
接受,accept,jiē shòu,
拒絕,refuse,jù jué,
發送,send,fā sòng,
收到,receive,shōu dào,
帶,bring,dài,
拿,take,ná,
放,put,fàng,
丟,lose,dīu,
找到,find,zhǎo dào,
修理,fix,xīu lǐ,
