phrase,english,pinyin,comments
抓住,catch,zhuā zhù,
釋放,release,shì fàng,
捆綁,tie,kǔn bǎng,
解開,untie,jiě kāi,
鎖,lock,suǒ,
解鎖,unlock,jiě suǒ,
蓋,cover,gài,
揭開,uncover,jiē kāi,
包裹,wrap,bāo guǒ,
裝,pack,zhuāng,
拆,unpack,chāi,
裝飾,decorate,zhuāng shì,
清理,clean up,qīng lǐ,
打掃,sweep,dǎ sǎo,
拖,drag,tuō,
搬運,carry,bān yùn,
舉,hold up,jǔ,
握,hold,wò,
捏,pinch,niē,
擰,twist,níng,
拍,pat,pāi,
敲,knock,qiāo,
按,press,àn,
點,click,diǎn,
滑動,swipe,huá dòng,
滾動,scroll,gǔn dòng,
搖,shake,yáo,
晃,rock,huǎng,
轉動,rotate,zhuǎn dòng,
翻轉,flip,fān zhuǎn,
